Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-11-09,Death Note,2006,https://boxd.it/7L3hVN,5,,,2021-04-24
2024-11-09,Moriarty the Patriot,2020,https://boxd.it/7L3hVX,4,,,2021-04-24
2024-11-09,Zack Snyder's Justice League,2021,https://boxd.it/7L3hW7,4.5,,,2021-04-24
2024-11-09,Nobody,2021,https://boxd.it/7L3hWh,3.5,,,2021-04-24
2024-11-09,Avengers: Infinity War,2018,https://boxd.it/7L3hWr,5,,,2021-04-24
2024-11-09,Parasite,2019,https://boxd.it/7L3hXp,4.5,,,2021-04-24
2024-11-09,The Shawshank Redemption,1994,https://boxd.it/7L3hXJ,4.5,,,2021-04-24
2024-11-09,The Dark Knight,2008,https://boxd.it/7L3hXT,5,,,2021-04-24
2024-11-09,Tenet,2020,https://boxd.it/7L3hY3,4,,,2021-04-24
2024-11-09,Joker,2019,https://boxd.it/7L3hYd,4.5,,,2021-04-24
2024-11-09,Avengers: Endgame,2019,https://boxd.it/7L3hYn,5,,,2021-04-24
2024-11-09,Django Unchained,2012,https://boxd.it/7L3hV9,4.5,,,2021-05-29
2024-11-09,GoodFellas,1990,https://boxd.it/7L3hVt,4.5,,,2021-05-29
2024-11-09,Taxi Driver,1976,https://boxd.it/7L3hVD,4,,,2021-05-29
2024-11-09,One Piece: The Movie,2000,https://boxd.it/7L3hUF,5,,,2021-09-11
2024-11-09,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/7L3hSz,4,,,2021-09-14
2024-11-09,Fight Club,1999,https://boxd.it/7L3hSJ,4.5,,,2021-09-14
2024-11-09,ERASED,2016,https://boxd.it/7L3hST,4.5,,,2021-09-14
2024-11-09,Inception,2010,https://boxd.it/7L3hT3,4.5,,,2021-09-14
2024-11-09,Steins;Gate,2011,https://boxd.it/7L3hTd,3.5,,,2021-09-14
2024-11-09,The Suicide Squad,2021,https://boxd.it/7L3hTn,4,,,2021-09-14
2024-11-09,Fullmetal Alchemist: Brotherhood,2009,https://boxd.it/7L3hTx,4,,,2021-09-14
2024-11-09,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,https://boxd.it/7L3hTH,4,,,2021-09-14
2024-11-09,The Promised Neverland,2019,https://boxd.it/7L3hTR,3,,,2021-09-14
2024-11-09,Your Name.,2016,https://boxd.it/7L3hU1,5,,,2021-09-14
2024-11-09,Mob Psycho 100,2018,https://boxd.it/7L3hUb,5,,,2021-09-14
2024-11-09,Attack on Titan,2015,https://boxd.it/7L3hUl,5,,,2021-09-14
2024-11-09,Hunter × Hunter Pilot,1998,https://boxd.it/7L3hUv,4.5,,,2021-09-14
2024-11-09,WandaVision,2021,https://boxd.it/7L3hQN,3,,,2022-04-23
2024-11-09,JUJUTSU KAISEN,2020,https://boxd.it/7L3hQX,4,,,2022-04-23
2024-11-09,My Hero Academia: Two Heroes,2018,https://boxd.it/7L3hR7,3.5,,,2022-04-23
2024-11-09,Loki,2021,https://boxd.it/7L3hRr,4,,,2022-04-23
2024-11-09,The Misadventures of Rick and Morty,2015,,5,,,2022-04-24
2024-11-09,El Camino: A Breaking Bad Movie,2019,https://boxd.it/7L3hQ9,5,,,2022-04-24
2024-11-09,Moon Knight,2022,https://boxd.it/7L3hOH,3,,,2022-05-15
2024-11-09,Game of Thrones: The Last Watch,2019,https://boxd.it/7L3hO3,4.5,,,2022-06-11
2024-11-09,Prisoners,2013,https://boxd.it/7L3hJR,4,,,2022-06-28
2024-11-09,The Dark Knight Rises,2012,https://boxd.it/7L3hK1,4.5,,,2022-06-28
2024-11-09,ODDTAXI,2021,https://boxd.it/7L3hMh,4.5,,,2022-06-28
2024-11-09,The Falcon and the Winter Soldier,2021,https://boxd.it/7L3hMr,3,,,2022-06-28
2024-11-09,Mare of Easttown,2021,https://boxd.it/7L3hHh,4,,,2022-08-25
2024-11-09,The Sandman,2022,https://boxd.it/7L3hGN,4,,,2022-08-30
2024-11-09,Peaky Blinders: The Immortal Man,2026,https://boxd.it/7L3hF1,,,,2022-10-30
2024-11-09,The House of the Red Dragon,1969,https://boxd.it/7L3hEH,5,,,2022-11-01
2024-11-09,Cyberpunk: Edgerunners,2022,https://boxd.it/7L3hEx,4.5,,,2022-11-05
2024-11-09,Wednesday,2023,https://boxd.it/7L3hAZ,3.5,,,2023-01-19
2024-11-09,The Last of Us,2016,https://boxd.it/7L3hyz,4,,,2023-07-12
2024-11-09,BEEF,2023,https://boxd.it/7L3hxB,4.5,,,2023-08-10
2024-11-09,Summer Time Rendering,2022,https://boxd.it/7L3hsB,4,,,2023-10-12
2024-11-09,LINK CLICK,2021,https://boxd.it/7L3hsL,4,,,2023-10-12
2024-11-09,Devilman Crybaby,2018,https://boxd.it/7L3hnL,,,,2023-10-22
2024-11-09,Parasyte -the maxim-,2014,https://boxd.it/7L3hnV,4,,,2023-10-22
2024-11-09,Dororo,2019,https://boxd.it/7L3ho5,4,,,2023-10-22
2024-11-09,The Boys,1998,https://boxd.it/7L3hll,4.5,,,2023-11-17
2024-11-09,Guns & Gulaabs,2023,https://boxd.it/7L3hiB,3.5,,,2023-12-10
2024-11-09,The Watcher,2022,https://boxd.it/7L3hir,3.5,,,2023-12-16
2024-11-09,The Haunting of Hill House,2018,https://boxd.it/7L3hi7,4,,,2023-12-20
2024-11-09,The Fall of the House of Usher,2023,https://boxd.it/7L3hhN,3.5,,,2023-12-24
2024-11-09,ARCANE,2021,https://boxd.it/7L3hhD,4,,,2023-12-25
2024-11-09,PLUTO,2023,https://boxd.it/7L3hhj,3.5,,,2024-01-03
2024-11-09,Black Bird,2022,https://boxd.it/7L3hfH,4,,,2024-02-29
2024-11-09,BLUE EYE SAMURAI,2023,https://boxd.it/7L3hcN,4,,,2024-03-26
2024-11-09,Peacemaker,2023,https://boxd.it/7L3haR,4.5,,,2024-04-28
2024-11-09,Bleach,2018,https://boxd.it/7L3hax,4,,,2024-05-05
2024-11-09,Demon Slayer: Kimetsu no Yaiba,2019,https://boxd.it/7L3had,3.5,,,2024-05-07
